#{"t_start": 1664969536.207807, "env_id": null}
r,l,t
-39.0,39,19.412987
-13.0,13,19.463546
-51.0,51,19.480004
-2.0,2,19.486326
-51.0,51,19.517833
-4.0,4,19.530362
-11.0,11,19.565445
-51.0,51,19.572079
-35.0,35,19.575272
-12.0,12,19.603661
-20.0,20,19.651792
-51.0,51,19.660736
-16.0,16,19.70986
-51.0,51,19.744946
-51.0,51,19.776123
-15.0,15,19.792129
-51.0,51,19.811315
-46.0,46,19.855251
-51.0,51,19.946447
-29.0,29,19.957181
-51.0,51,19.967505
-51.0,51,19.995641
-24.0,24,20.045635
-51.0,51,20.172132
-51.0,51,20.17831
-51.0,51,20.196443
-51.0,51,20.244732
-40.0,40,20.323064
-9.0,9,20.349237
-32.0,32,20.361265
-51.0,51,20.361326
-51.0,51,20.379173
-9.0,9,20.405548
-28.0,28,20.433339
-17.0,17,20.485664
-7.0,7,20.507309
-51.0,51,20.516811
-51.0,51,20.516872
-2.0,2,20.522935
-7.0,7,20.544449
-51.0,51,20.563128
-25.0,25,20.623949
-51.0,51,20.676003
-51.0,51,20.689932
-51.0,51,20.7573
-51.0,51,20.843508
-30.0,30,20.890994
-51.0,51,20.903991
-51.0,51,20.916554
-23.0,23,20.934043
-34.0,34,21.024031
-51.0,51,21.065919
-51.0,51,21.084193
-22.0,22,21.090135
-51.0,51,21.102261
-16.0,16,21.11416
-10.0,10,21.132606
-51.0,51,21.239173
-51.0,51,21.2455
-51.0,51,21.270253
-51.0,51,21.288934
-51.0,51,21.42997
-51.0,51,21.438905
-51.0,51,21.475306
-51.0,51,21.501544
-14.0,14,21.535555
-24.0,24,21.535605
-26.0,26,21.634647
-51.0,51,21.647838
-13.0,13,21.689672
-50.0,50,21.701956
-51.0,51,21.740397
-31.0,31,21.777404
-26.0,26,21.809724
-18.0,18,21.813884
-48.0,48,21.862705
-2.0,2,21.868322
-16.0,16,21.917357
-42.0,42,21.943256
-51.0,51,21.943323
-51.0,51,21.977437
-4.0,4,21.993901
-15.0,15,22.003946
-5.0,5,22.018206
-14.0,14,22.035529
-27.0,27,22.038455
-4.0,4,22.050356
-51.0,51,22.112837
-27.0,27,22.14695
-11.0,11,22.193024
-51.0,51,22.222529
-51.0,51,22.268708
-51.0,51,22.326206
-32.0,32,22.326257
-5.0,5,22.346908
-41.0,41,22.391351
-5.0,5,22.411591
-16.0,16,22.411649
-51.0,51,22.476305
-51.0,51,22.529573
-40.0,40,22.557665
-32.0,32,22.580177
-51.0,51,22.589013
-16.0,16,22.636024
-2.0,2,22.641797
-51.0,51,22.677396
-51.0,51,22.712549
-29.0,29,22.743569
-51.0,51,22.748152
-9.0,9,22.787282
-32.0,32,22.808977
-4.0,4,22.824953
-23.0,23,22.836587
-2.0,2,22.842531
-30.0,30,22.897951
-51.0,51,22.909691
-28.0,28,22.936088
-10.0,10,22.938978
-4.0,4,22.95075
-51.0,51,25.507921
-26.0,26,25.560038
-3.0,3,25.574358
-51.0,51,25.588819
-51.0,51,25.646423
-51.0,51,25.721549
-46.0,46,25.793724
-51.0,51,25.798494
-36.0,36,25.808158
-22.0,22,25.821405
-14.0,14,25.867367
-13.0,13,25.877479
-11.0,11,25.881669
-51.0,51,26.039782
-39.0,39,26.052623
-51.0,51,26.093011
-51.0,51,26.103597
-29.0,29,26.148433
-49.0,49,26.232555
-51.0,51,26.281749
-51.0,51,26.29508
-51.0,51,26.350701
-51.0,51,26.432249
-51.0,51,26.46751
-51.0,51,26.476346
-21.0,21,26.493883
-51.0,51,26.514514
-9.0,9,26.541013
-16.0,16,26.541087
-12.0,12,26.577644
-51.0,51,26.621386
-51.0,51,26.635172
-30.0,30,26.639676
-15.0,15,26.687003
-51.0,51,26.74516
-51.0,51,26.788306
-51.0,51,26.800961
-51.0,51,26.843743
-24.0,24,26.874559
-29.0,29,26.877806
-51.0,51,26.903657
-2.0,2,26.909925
-14.0,14,26.919462
-18.0,18,26.985358
-37.0,37,27.005914
-51.0,51,27.015422
-51.0,51,27.089278
-3.0,3,27.103005
-10.0,10,27.147578
-48.0,48,27.163892
-42.0,42,27.172961
-51.0,51,27.19171
-11.0,11,27.225101
-30.0,30,27.258817
-51.0,51,27.327485
-44.0,44,27.332123
-18.0,18,27.405957
-44.0,44,27.406027
-40.0,40,27.431448
-14.0,14,27.465659
-51.0,51,27.540226
-22.0,22,27.546182
-4.0,4,27.552042
-5.0,5,27.560715
-43.0,43,27.592564
-51.0,51,27.601113
-33.0,33,27.732671
-51.0,51,27.754294
-51.0,51,27.767112
-5.0,5,27.775651
-51.0,51,27.801397
-20.0,20,27.838236
-41.0,41,27.87628
-6.0,6,27.894017
-51.0,51,27.93526
-51.0,51,27.953743
-51.0,51,27.989687
-16.0,16,28.001656
-42.0,42,28.019986
-25.0,25,28.083233
-51.0,51,28.118026
-14.0,14,28.144088
-31.0,31,28.15266
-9.0,9,28.157131
-51.0,51,28.197096
-3.0,3,28.205966
-6.0,6,28.223588
-4.0,4,28.235467
-51.0,51,28.309951
-51.0,51,28.319249
-51.0,51,28.324007
-8.0,8,28.351181
-12.0,12,28.416237
-51.0,51,28.445715
-15.0,15,28.511114
-51.0,51,28.542303
-51.0,51,28.555637
-19.0,19,28.593924
-12.0,12,28.593976
-2.0,2,28.602198
-44.0,44,28.606165
-6.0,6,28.61854
-18.0,18,28.659465
-27.0,27,28.692209
-51.0,51,28.733808
-8.0,8,28.757645
-21.0,21,28.760525
-51.0,51,28.778657
-7.0,7,28.781607
-8.0,8,28.78165
-51.0,51,28.820727
-35.0,35,28.896373
-51.0,51,28.966204
-51.0,51,28.966273
-2.0,2,28.97231
-4.0,4,28.984327
-10.0,10,28.996864
-51.0,51,29.006055
-36.0,36,29.024558
-11.0,11,29.047225
-7.0,7,29.056054
-25.0,25,29.102429
-51.0,51,29.199347
-26.0,26,29.21689
-51.0,51,29.263653
-51.0,51,29.273165
-4.0,4,29.282019
-27.0,27,29.303803
-51.0,51,29.410806
-2.0,2,29.416606
-30.0,30,29.416669
-51.0,51,29.472906
-51.0,51,29.478588
-3.0,3,29.487399
-22.0,22,29.495873
-24.0,24,29.562873
-17.0,17,29.567166
-51.0,51,29.617976
-16.0,16,29.629797
-9.0,9,29.649667
-51.0,51,29.68703
-21.0,21,29.718395
-29.0,29,29.72699
-7.0,7,29.738405
-51.0,51,29.741371
-11.0,11,29.759199
-51.0,51,29.857335
-51.0,51,29.912101
-51.0,51,29.916955
-51.0,51,29.942548
-25.0,25,29.942607
-2.0,2,29.951041
-3.0,3,29.955279
-51.0,51,30.100237
-51.0,51,30.103558
-4.0,4,30.11241
-51.0,51,30.12749
-51.0,51,30.130705
-7.0,7,30.148466
-14.0,14,30.171772
-31.0,31,30.249466
-51.0,51,30.27069
-51.0,51,30.279833
-2.0,2,30.285797
-14.0,14,30.339303
-51.0,51,30.352532
-2.0,2,30.359841
-27.0,27,30.36573
-14.0,14,30.41643
-51.0,51,30.449554
-13.0,13,30.480668
-11.0,11,30.504277
-51.0,51,30.566476
-51.0,51,30.604933
-28.0,28,30.708025
-51.0,51,30.73379
-8.0,8,30.75005
-51.0,51,30.759262
-6.0,6,30.776213
-51.0,51,30.848397
-17.0,17,30.848466
-36.0,36,30.8818
-18.0,18,30.907272
-41.0,41,30.915472
-14.0,14,30.966311
-39.0,39,30.981378
-10.0,10,31.010789
-11.0,11,31.044351
-51.0,51,31.047509
-4.0,4,31.056209
-32.0,32,31.062055
-5.0,5,31.071359
-51.0,51,31.071416
-6.0,6,31.089385
-7.0,7,31.092536
-8.0,8,31.121181
-46.0,46,31.221829
-51.0,51,31.221895
-3.0,3,31.230948
-13.0,13,31.261351
-51.0,51,31.267738
-51.0,51,31.289381
-19.0,19,31.334302
-51.0,51,31.396206
-51.0,51,31.427109
-51.0,51,31.456029
-51.0,51,31.494642
-51.0,51,31.558395
-10.0,10,31.590222
-51.0,51,31.590291
-51.0,51,31.619694
-10.0,10,31.622944
-51.0,51,31.658887
-35.0,35,31.735127
-51.0,51,31.754217
-33.0,33,31.763862
-4.0,4,31.776615
-51.0,51,31.783016
-9.0,9,31.805231
-19.0,19,31.818886
-31.0,31,31.846824
-21.0,21,31.901216
-34.0,34,31.928388
-4.0,4,31.94586
-51.0,51,32.044087
-48.0,48,32.056871
-5.0,5,32.06528
-41.0,41,32.117664
-51.0,51,32.117713
-51.0,51,32.235094
-51.0,51,32.241043
-51.0,51,32.292982
-51.0,51,32.293037
-11.0,11,32.339383
-15.0,15,32.355267
-51.0,51,32.424501
-51.0,51,32.43043
-25.0,25,32.436526
-4.0,4,32.436587
-13.0,13,32.468748
-51.0,51,32.501358
-51.0,51,32.599432
-51.0,51,32.5995
-4.0,4,32.61727
-51.0,51,32.64775
-12.0,12,32.66582
-51.0,51,32.689556
-5.0,5,32.712238
-51.0,51,32.809952
-51.0,51,32.857853
-37.0,37,32.866807
-51.0,51,32.881283
-4.0,4,32.885956
-6.0,6,32.909429
-8.0,8,32.95499
-51.0,51,33.056412
-10.0,10,35.316012
-51.0,51,35.319205
-5.0,5,35.331643
-51.0,51,35.334251
-42.0,42,35.343959
-14.0,14,35.365975
-51.0,51,35.47681
-51.0,51,35.496946
-7.0,7,35.496995
-51.0,51,35.508598
-51.0,51,35.532981
-24.0,24,35.573201
-34.0,34,35.589578
-51.0,51,35.638003
-5.0,5,35.652298
-24.0,24,35.657945
-51.0,51,35.675545
-51.0,51,35.720754
-16.0,16,35.724735
-22.0,22,35.818548
-51.0,51,35.838554
-51.0,51,35.84453
-3.0,3,35.847422
-33.0,33,35.853328
-33.0,33,35.958097
-36.0,36,35.976268
-51.0,51,35.998052
-51.0,51,36.022849
-42.0,42,36.133626
-51.0,51,36.142342
-51.0,51,36.178904
-51.0,51,36.212983
-7.0,7,36.242095
-6.0,6,36.26678
-36.0,36,36.283572
-51.0,51,36.334123
-51.0,51,36.391858
-8.0,8,36.420274
-41.0,41,36.428667
-29.0,29,36.44052
-7.0,7,36.463011
-51.0,51,36.474571
-25.0,25,36.509326
-11.0,11,36.554114
-24.0,24,36.574313
-51.0,51,36.628813
-51.0,51,36.675513
-31.0,31,36.758933
-51.0,51,36.767071
-51.0,51,36.788535
-51.0,51,36.877131
-51.0,51,36.938748
-51.0,51,36.944505
-51.0,51,36.958819
-13.0,13,37.001174
-51.0,51,37.048326
-51.0,51,37.128036
-51.0,51,37.135584
-5.0,5,37.150091
-4.0,4,37.161318
-35.0,35,37.17277
-51.0,51,37.187308
-10.0,10,37.201824
-11.0,11,37.233781
-25.0,25,37.233847
-2.0,2,37.239951
-6.0,6,37.251859
-5.0,5,37.25476
-51.0,51,37.278476
-11.0,11,37.284388
-13.0,13,37.316899
-47.0,47,37.325982
-6.0,6,37.335123
-51.0,51,37.408156
-25.0,25,37.411273
-50.0,50,37.435654
-23.0,23,37.481673
-51.0,51,37.486512
-9.0,9,37.52615
-22.0,22,37.579363
-51.0,51,37.600719
-51.0,51,37.624493
-30.0,30,37.633804
-20.0,20,37.711152
-51.0,51,37.749537
-51.0,51,37.770573
-44.0,44,37.7737
-51.0,51,37.883156
-31.0,31,37.887247
-5.0,5,37.908524
-51.0,51,37.930122
-4.0,4,37.942043
-49.0,49,37.945156
-8.0,8,37.974454
-13.0,13,38.000813
-20.0,20,38.057501
-48.0,48,38.066294
-8.0,8,38.089383
-51.0,51,38.092768
-14.0,14,38.134908
-51.0,51,38.174109
-51.0,51,38.215711
-51.0,51,38.249388
-51.0,51,38.302963
-8.0,8,38.3398
-51.0,51,38.353952
-10.0,10,38.386404
-51.0,51,38.418967
-14.0,14,38.449793
-51.0,51,38.467497
-20.0,20,38.537264
-51.0,51,38.578609
-51.0,51,38.639205
-51.0,51,38.686151
-51.0,51,38.747499
-51.0,51,38.785877
-51.0,51,38.827554
-4.0,4,38.83953
-19.0,19,38.842583
-51.0,51,38.860356
-40.0,40,38.87549
-6.0,6,38.901797
-32.0,32,38.960201
-51.0,51,39.054488
-38.0,38,39.071587
-2.0,2,39.080421
-51.0,51,39.080476
-5.0,5,39.103601
-36.0,36,39.12608
-10.0,10,39.168692
-51.0,51,39.269187
-49.0,49,39.287551
-9.0,9,39.309113
-51.0,51,39.317685
-15.0,15,39.386621
-51.0,51,39.3867
-13.0,13,39.440961
-51.0,51,39.517139
-51.0,51,39.541372
-51.0,51,39.621989
-23.0,23,39.651871
-29.0,29,39.656553
-51.0,51,39.686067
-21.0,21,39.724839
-19.0,19,39.744639
-38.0,38,39.840906
-2.0,2,39.850522
-27.0,27,39.855948
-51.0,51,39.934807
-2.0,2,39.946626
-51.0,51,39.9994
-51.0,51,40.101575
-51.0,51,40.106425
-51.0,51,40.192442
-51.0,51,40.237741
-35.0,35,40.262244
-8.0,8,40.269764
-15.0,15,40.341389
-51.0,51,40.341444
-12.0,12,40.39574
-51.0,51,40.425491
-51.0,51,40.493714
-32.0,32,40.523814
-51.0,51,40.54918
-51.0,51,40.623774
-31.0,31,40.661675
-51.0,51,40.670982
-51.0,51,40.702181
-19.0,19,40.725652
-50.0,50,40.808231
-34.0,34,40.858235
-10.0,10,40.858306
