#{"t_start": 1664975742.4017158, "env_id": null}
r,l,t
-51.0,51,18.104746
-51.0,51,18.135035
-51.0,51,18.216702
-51.0,51,18.216769
-35.0,35,18.221143
-51.0,51,18.322436
-51.0,51,18.399812
-51.0,51,18.399879
-51.0,51,18.404089
-39.0,39,18.453376
-51.0,51,18.588729
-51.0,51,18.588792
-51.0,51,18.592987
-51.0,51,18.652453
-48.0,48,18.784514
-51.0,51,18.797218
-51.0,51,18.801443
-51.0,51,18.851262
-51.0,51,18.965903
-51.0,51,18.974835
-51.0,51,18.978051
-51.0,51,19.035927
-46.0,46,19.153395
-51.0,51,19.161644
-51.0,51,19.177495
-51.0,51,19.233651
-51.0,51,19.360573
-51.0,51,19.368754
-51.0,51,19.385271
-51.0,51,19.442157
-51.0,51,19.565735
-51.0,51,19.573994
-51.0,51,19.590087
-51.0,51,19.645513
-51.0,51,19.76939
-51.0,51,19.777307
-51.0,51,19.793501
-51.0,51,19.849532
-22.0,22,19.871785
-51.0,51,19.955266
-51.0,51,19.960865
-51.0,51,20.025795
-51.0,51,20.065333
-51.0,51,20.147127
-51.0,51,20.153308
-51.0,51,20.206809
-51.0,51,20.230401
-51.0,51,20.305204
-51.0,51,20.314251
-51.0,51,20.376914
-51.0,51,20.401194
-51.0,51,20.484413
-51.0,51,20.492836
-51.0,51,20.560715
-51.0,51,20.583828
-51.0,51,20.651987
-51.0,51,20.658296
-9.0,9,20.679301
-51.0,51,20.714149
-51.0,51,20.737814
-42.0,42,20.843482
-51.0,51,20.853196
-51.0,51,20.943564
-51.0,51,20.977958
-51.0,51,21.077077
-51.0,51,21.085883
-51.0,51,21.16066
-51.0,51,21.196178
-51.0,51,21.283688
-51.0,51,21.292324
-51.0,51,21.364043
-51.0,51,21.399991
-51.0,51,21.4915
-51.0,51,21.49755
-51.0,51,21.556201
-51.0,51,21.588261
-51.0,51,21.694337
-33.0,33,21.705603
-51.0,51,21.70567
-45.0,45,21.803857
-51.0,51,21.919408
-51.0,51,21.926126
-51.0,51,21.926191
-51.0,51,22.012297
-21.0,21,22.015131
-46.0,46,22.083517
-51.0,51,22.091942
-51.0,51,22.185247
-51.0,51,22.18967
-51.0,51,22.286064
-51.0,51,22.298603
-51.0,51,22.387547
-51.0,51,22.390962
-51.0,51,22.494485
-51.0,51,22.506897
-51.0,51,22.586975
-51.0,51,22.590219
-51.0,51,22.673354
-51.0,51,22.687709
-51.0,51,22.784119
-51.0,51,22.788273
-51.0,51,22.895085
-51.0,51,22.907481
-51.0,51,22.985081
-51.0,51,22.987993
-51.0,51,23.057002
-51.0,51,23.065974
-51.0,51,23.14094
-51.0,51,23.143986
-9.0,9,23.181849
-51.0,51,23.2279
-51.0,51,23.236916
-51.0,51,23.30108
-51.0,51,23.329735
-51.0,51,25.747821
-51.0,51,25.758433
-51.0,51,25.834434
-51.0,51,25.870541
-51.0,51,25.928767
-51.0,51,25.940312
-51.0,51,26.021524
-51.0,51,26.053137
-51.0,51,26.095879
-51.0,51,26.107665
-51.0,51,26.188809
-51.0,51,26.228676
-51.0,51,26.291324
-51.0,51,26.303166
-51.0,51,26.382018
-51.0,51,26.409121
-25.0,25,26.451355
-51.0,51,26.454475
-51.0,51,26.463142
-51.0,51,26.555393
-51.0,51,26.5992
-51.0,51,26.602491
-51.0,51,26.611833
-24.0,24,26.672468
-51.0,51,26.707999
-51.0,51,26.755144
-51.0,51,26.76429
-11.0,11,26.788047
-51.0,51,26.824058
-51.0,51,26.859379
-51.0,51,26.918132
-51.0,51,26.947838
-51.0,51,26.994345
-51.0,51,27.04853
-51.0,51,27.125991
-51.0,51,27.161466
-51.0,51,27.213492
-21.0,21,27.217975
-51.0,51,27.27018
-51.0,51,27.404535
-51.0,51,27.454291
-51.0,51,27.458621
-51.0,51,27.502926
-51.0,51,27.587584
-51.0,51,27.622436
-51.0,51,27.625571
-4.0,4,27.634371
-51.0,51,27.668453
-22.0,22,27.714744
-51.0,51,27.786831
-51.0,51,27.853748
-51.0,51,27.882394
-51.0,51,27.912765
-51.0,51,27.959325
-51.0,51,28.023812
-51.0,51,28.053907
-51.0,51,28.10932
-34.0,34,28.17058
-51.0,51,28.174856
-51.0,51,28.266534
-41.0,41,28.269408
-51.0,51,28.361257
-26.0,26,28.365259
-51.0,51,28.365305
-51.0,51,28.450105
-51.0,51,28.570576
-51.0,51,28.575621
-51.0,51,28.575675
-44.0,44,28.651224
-51.0,51,28.792292
-51.0,51,28.796463
-51.0,51,28.796506
-51.0,51,28.85507
-48.0,48,28.990338
-51.0,51,28.999226
-51.0,51,29.004216
-51.0,51,29.077956
-51.0,51,29.220783
-51.0,51,29.230029
-51.0,51,29.234423
-51.0,51,29.311103
-49.0,49,29.44298
-51.0,51,29.443035
-51.0,51,29.456641
-51.0,51,29.53267
-20.0,20,29.621085
-51.0,51,29.664228
-51.0,51,29.664282
-51.0,51,29.678273
-51.0,51,29.827324
-51.0,51,29.867556
-51.0,51,29.867609
-51.0,51,29.87606
-30.0,30,30.005354
-51.0,51,30.052385
-51.0,51,30.108193
-51.0,51,30.123651
-51.0,51,30.255422
-51.0,51,30.303768
-51.0,51,30.35194
-51.0,51,30.36512
-24.0,24,30.365191
-51.0,51,30.510631
-51.0,51,30.556184
-51.0,51,30.570769
-51.0,51,30.570824
-46.0,46,30.690741
-51.0,51,30.738575
-51.0,51,30.747896
-51.0,51,30.747951
-51.0,51,30.850293
-40.0,40,30.874058
-51.0,51,30.898267
-18.0,18,30.907064
-51.0,51,30.911753
-51.0,51,31.042434
-51.0,51,31.077741
-51.0,51,31.083763
-51.0,51,31.086891
-14.0,14,31.125108
-25.0,25,31.151622
-51.0,51,31.212369
-51.0,51,31.282911
-51.0,51,31.34732
-51.0,51,31.387218
-51.0,51,31.484425
-51.0,51,31.539949
-51.0,51,31.599792
-4.0,4,31.618501
-51.0,51,31.641961
-51.0,51,31.725214
-51.0,51,31.77557
-51.0,51,31.853861
-18.0,18,31.858769
-51.0,51,31.876916
-51.0,51,31.948382
-51.0,51,32.06787
-51.0,51,32.072256
-51.0,51,32.086575
-20.0,20,32.140766
-51.0,51,32.149629
-22.0,22,32.233203
-51.0,51,32.266265
-51.0,51,32.280361
-51.0,51,32.331408
-51.0,51,32.392094
-51.0,51,32.425201
-51.0,51,32.446527
-51.0,51,32.503459
-51.0,51,32.572457
-51.0,51,32.605254
-51.0,51,32.625199
-23.0,23,32.667403
-51.0,51,32.700946
-51.0,51,32.813477
-51.0,51,32.833595
-51.0,51,32.873217
-51.0,51,32.911493
-51.0,51,33.047814
-39.0,39,33.061418
-51.0,51,33.071125
-40.0,40,33.104269
-51.0,51,33.287073
-51.0,51,33.3006
-51.0,51,33.310415
-51.0,51,33.34217
-51.0,51,33.523921
-51.0,51,33.537671
-51.0,51,33.546858
-51.0,51,33.578396
-14.0,14,33.609576
-51.0,51,33.762491
-51.0,51,33.77759
-51.0,51,33.82005
-51.0,51,33.853067
-44.0,44,36.506708
-51.0,51,36.520489
-51.0,51,36.562627
-51.0,51,36.580176
-51.0,51,36.660897
-51.0,51,36.676302
-46.0,46,36.70451
-51.0,51,36.767381
-51.0,51,36.869863
-51.0,51,36.885787
-51.0,51,36.911794
-11.0,11,36.952499
-51.0,51,36.956485
-51.0,51,37.060628
-51.0,51,37.075739
-12.0,12,37.1051
-51.0,51,37.142669
-51.0,51,37.146564
-51.0,51,37.244858
-51.0,51,37.271216
-51.0,51,37.304273
-51.0,51,37.308439
-38.0,38,37.38066
-35.0,35,37.427403
-51.0,51,37.443477
-51.0,51,37.473127
-31.0,31,37.521745
-51.0,51,37.535693
-31.0,31,37.538537
-51.0,51,37.663052
-44.0,44,37.710138
-51.0,51,37.718016
-51.0,51,37.741485
-51.0,51,37.861327
-51.0,51,37.907809
-51.0,51,37.915614
-51.0,51,37.933617
-51.0,51,38.03884
-51.0,51,38.071347
-51.0,51,38.077132
