#{"t_start": 1658417775.9753768, "env_id": null}
r,l,t
3.0,199,57.181598
2.0,199,57.181666
5.0,199,57.181682
3.0,199,57.181692
5.0,199,57.710047
1.0,199,57.710104
3.0,199,57.710115
2.0,199,57.710122
4.0,199,58.224633
5.0,199,58.224689
4.0,199,58.224699
4.0,199,58.224708
4.0,199,58.761352
3.0,199,58.761409
4.0,199,58.761419
5.0,199,58.761426
4.0,199,59.325951
4.0,199,59.326011
5.0,199,59.32602
3.0,199,59.326027
5.0,199,60.036614
4.0,199,60.036669
6.0,199,60.036679
4.0,199,60.036686
6.0,199,60.601553
3.0,199,60.601609
3.0,199,60.601619
5.0,199,60.601626
2.0,199,61.137429
4.0,199,61.137489
2.0,199,61.1375
4.0,199,61.137507
3.0,199,61.688865
4.0,199,61.68892
4.0,199,61.688929
4.0,199,61.688936
5.0,199,62.274134
3.0,199,62.27419
2.0,199,62.2742
4.0,199,62.274207
4.0,199,62.815762
3.0,199,62.815818
3.0,199,62.815828
5.0,199,62.815835
3.0,199,63.368083
2.0,199,63.368141
3.0,199,63.368151
3.0,199,63.368158
4.0,199,63.886025
3.0,199,63.886081
4.0,199,63.88609
3.0,199,63.886098
3.0,199,64.428037
2.0,199,64.428099
4.0,199,64.428109
2.0,199,64.428117
4.0,199,64.955915
4.0,199,64.955974
3.0,199,64.955984
4.0,199,64.955991
3.0,199,65.517125
5.0,199,65.517179
3.0,199,65.517188
4.0,199,65.517196
3.0,199,66.145917
3.0,199,66.145981
3.0,199,66.145991
1.0,199,66.145999
3.0,199,66.689735
2.0,199,66.689807
2.0,199,66.689821
3.0,199,66.68983
2.0,199,67.222953
3.0,199,67.223024
2.0,199,67.223036
2.0,199,67.223045
2.0,199,67.791737
4.0,199,67.791807
3.0,199,67.791822
3.0,199,67.79183
1.0,199,68.36789
4.0,199,68.367973
2.0,199,68.367986
2.0,199,68.367994
2.0,199,69.010119
2.0,199,69.010183
1.0,199,69.010209
3.0,199,69.010218
3.0,199,69.601596
1.0,199,69.601664
4.0,199,69.601676
3.0,199,69.601685
2.0,199,70.162828
4.0,199,70.162887
2.0,199,70.162898
2.0,199,70.162906
1.0,199,70.68704
3.0,199,70.687105
3.0,199,70.687117
3.0,199,70.687129
1.0,199,71.199463
2.0,199,71.199535
1.0,199,71.199547
2.0,199,71.199556
3.0,199,71.723194
1.0,199,71.723265
3.0,199,71.723277
2.0,199,71.723285
1.0,199,72.335107
1.0,199,72.335176
1.0,199,72.335187
1.0,199,72.335196
3.0,199,72.949759
3.0,199,72.949835
3.0,199,72.94985
1.0,199,72.949861
4.0,199,73.595631
1.0,199,73.595704
2.0,199,73.595718
3.0,199,73.595727
2.0,199,74.177888
3.0,199,74.177949
3.0,199,74.177962
2.0,199,74.177971
4.0,199,74.720189
3.0,199,74.72025
2.0,199,74.720261
2.0,199,74.72027
3.0,199,75.2383
3.0,199,75.238365
2.0,199,75.238377
3.0,199,75.238386
4.0,199,75.763251
4.0,199,75.76332
2.0,199,75.763332
3.0,199,75.763341
2.0,199,76.278725
2.0,199,76.278789
1.0,199,76.278801
3.0,199,76.278811
3.0,199,76.803425
3.0,199,76.803496
2.0,199,76.803507
1.0,199,76.803516
3.0,199,77.33738
3.0,199,77.337442
3.0,199,77.337456
3.0,199,77.337465
3.0,199,77.851619
2.0,199,77.851685
2.0,199,77.851698
2.0,199,77.851709
2.0,199,78.369133
3.0,199,78.369198
2.0,199,78.36921
3.0,199,78.36922
1.0,199,78.892711
3.0,199,78.89278
3.0,199,78.892794
2.0,199,78.892803
1.0,199,79.401783
1.0,199,79.401855
2.0,199,79.401866
1.0,199,79.401874
1.0,199,80.005261
2.0,199,80.005366
2.0,199,80.005424
2.0,199,80.005437
2.0,199,80.560223
2.0,199,80.560323
2.0,199,80.560356
1.0,199,80.560374
2.0,199,81.139787
2.0,199,81.139846
2.0,199,81.139857
3.0,199,81.139866
2.0,199,81.712146
2.0,199,81.712212
2.0,199,81.712223
2.0,199,81.712232
1.0,199,82.253381
2.0,199,82.25345
2.0,199,82.253462
2.0,199,82.253471
2.0,199,82.798678
1.0,199,82.798745
1.0,199,82.798757
2.0,199,82.798766
2.0,199,83.341119
1.0,199,83.341182
2.0,199,83.341194
1.0,199,83.341203
1.0,199,83.874071
2.0,199,83.874139
1.0,199,83.874154
1.0,199,83.874162
2.0,199,84.439615
2.0,199,84.439695
1.0,199,84.439712
1.0,199,84.439721
2.0,199,84.984531
2.0,199,84.984601
2.0,199,84.984613
1.0,199,84.984621
2.0,199,85.530457
1.0,199,85.530524
2.0,199,85.530536
1.0,199,85.530544
1.0,199,86.07646
2.0,199,86.076525
2.0,199,86.076541
2.0,199,86.07655
1.0,199,86.607629
2.0,199,86.607697
1.0,199,86.607709
2.0,199,86.607718
2.0,199,87.129881
1.0,199,87.129945
2.0,199,87.129958
1.0,199,87.129967
2.0,199,87.647239
1.0,199,87.647321
1.0,199,87.647331
1.0,199,87.647338
2.0,199,88.175717
1.0,199,88.175791
2.0,199,88.175801
2.0,199,88.17581
1.0,199,88.703837
1.0,199,88.703904
2.0,199,88.703913
2.0,199,88.70392
1.0,199,89.23601
1.0,199,89.236068
1.0,199,89.236078
1.0,199,89.236086
1.0,199,89.755296
2.0,199,89.755367
2.0,199,89.755377
1.0,199,89.755385
1.0,199,90.283371
2.0,199,90.283427
1.0,199,90.283437
